subj_id|exp_id|age|sex|birth_country|residence|nationality|L1_language|education_level|student|employment|prolific_score|num_approvals
S001|E001|37|Female|United States|United States|United States|English|High school diploma/A-levels|No|Full-Time|100|888
S002|E001|37|Male|United States|United States|United States|English|Undergraduate degree (BA/BSc/other)|DATA EXPIRED|Unemployed (and job seeking)|100|271
S007|E004|30|Female|United States|United States|United States|English|Undergraduate degree (BA/BSc/other)|DATA EXPIRED|DATA EXPIRED|100|254
S010|E005|29|Female|United States|United States|United States|English|High school diploma/A-levels|No|Part-Time|100|1413
S008|E004|29|Female|United States|United States|United States|English|Undergraduate degree (BA/BSc/other)|No|Full-Time|99|269
S009|E005|40|Female|United States|United States|United States|English|High school diploma/A-levels|DATA EXPIRED|DATA EXPIRED|100|739
S015|E008|26|Female|United States|United States|United States|English|Technical/community college|No|Full-Time|100|408
S011|E006|30|Female|United States|United States|United States|English|High school diploma/A-levels|No|Part-Time|100|32
S012|E006|32|Female|United States|United States|United States|English|Undergraduate degree (BA/BSc/other)|Yes|Due to start a new job within the next month|100|1095
S014|E007|30|Male|United States|United States|United States|English|High school diploma/A-levels|No|Full-Time|97|238
S016|E008|33|Male|United States|United States|United States|English|Technical/community college|No|Full-Time|100|422
S013|E007|28|Female|United States|United States|United States|English|Undergraduate degree (BA/BSc/other)|No|Full-Time|100|293
S003|E002|26|Female|United States|United States|United States|English|Graduate degree (MA/MSc/MPhil/other)|No|Full-Time|100|858
S004|E002|31|Male|United States|United States|United States|English|Undergraduate degree (BA/BSc/other)|No|Other|100|965
S006|E003|29|Male|Argentina|United States|United States|English|High school diploma/A-levels|No|Part-Time|100|149
S005|E003|35|Female|China|United States|United States|English|Undergraduate degree (BA/BSc/other)|No|Full-Time|100|282
S019|E010|25|Female|United States|United States|United States|English|Undergraduate degree (BA/BSc/other)|Yes|Not in paid work (e.g. homemaker', 'retired or disabled)|100|140
S020|E010|42|Female|United Kingdom|United States|United States|English|Graduate degree (MA/MSc/MPhil/other)|Yes|Full-Time|100|716
