prolific_id|date_room_id|subject_count|subj_id|exp_id|Timestamp|To what degree did you enjoy the conversation?|To what degree did the conversation go smoothly?|Hypothetically, how much do you think you’d enjoy watching a movie with your partner?|How would you rate the level of rapport established between you and your partner?|How likely do you think it is that you’ll end up watching one of the movies your partner recommended?|In a few sentences, how would you describe your partner and the overall conversation?|Do you have any additional comments or questions for the study authors?|To what degree do you think your partner enjoyed chatting with you?
5765b92cf96b100001f64c9a|1-13-2022-1|subject1|S001|E001|1/13/2022 9:38:16|7|7|7|7|7|Very energetic, was able to get some great suggestions of shows to watch. My partner really tried to get to know me.|No.|7
607d9b4a31b7f0e217217722|1-13-2022-1|subject2|S002|E001|1/13/2022 9:39:03|4|3|3|5|1|The conversation was stilted, but perfectly banal. Like making small talk with Susan from HR in the office kitchen. I do not miss making small talk with Susan from HR in the office kitchen.|No|4
5e39872941345d19db4d3e20|1-13-2022-11|subject1|S003|E002|1/13/2022 10:09:38|5|5|3|3|5|The conversation went okay! It took a while to think of recommendations but that's because the genres we were interested in were a little different. It was fun and a unique survey though.|Maybe give more time to think about answers and chat more|4
5b48f2d0ff7497000125165e|1-13-2022-11|subject2|S004|E002|1/13/2022 10:09:39|3|3|4|4|3|It was pretty stilted. Nothing was unpleasant, but there was quite a bit of downtime between responses, on both sides. That was probably in part due to the lengthy responses.|If there was a way to show the partner was typing, that could provide some certainty that the chat was going ok.|3
6171890a0f8a9cd000cb5d8b|1-13-2022-14|subject1|S005|E003|1/13/2022 10:11:55|7|7|7|7|7|It was easy and fun, like talking to a friend.|n/a|7
614e6ab6bc702e64ce09f012|1-13-2022-14|subject2|S006|E003|1/13/2022 10:14:22|6|7|7|6|4|I think Alex is a wholesome person. I felt that Alex is an honest and agreeable person. Probably easy to get along with. We do however have very different tastes in film/tv shows.|I dont|6
5e5de7a9151524109818ad6a|1-13-2022-2|subject1|S007|E004|1/13/2022 9:46:14|7|7|7|5|7|It was nice and simple, didnt give away any spoilers, i like that we have certain genres in common. Definetly going to check out that movie on Netflix|no|6
5fa9a3c71c6cce1cc396a057|1-13-2022-2|subject2|S008|E004|1/13/2022 9:45:42|7|7|7|7|7|My partner was very cool and seem to like the same movies as me.|n/a|7
5c112b5d8124060001bfa35f|1-13-2022-3|subject1|S009|E005|1/13/2022 9:49:00|4|5|2|4|2|nice but a little strange|n/a|4
57d0badf28d5250001bdd9d2|1-13-2022-3|subject2|S010|E005|1/13/2022 9:50:48|5|5|6|4|5|My partner is fun and likes a good time. The conversation went well the movies we talked about sounded similar. We talked about the same stuff and felt comfortable.|no, 57d0badf28d5250001bdd9d2|4
602461d244b25614aaec3d2f|1-13-2022-4|subject1|S011|E006|1/13/2022 9:53:54|7|7|7|7|7|anyone who watches 90 day fiance is a friend of mine. very lovely convo and I will be watching their recommendation.|I was under the impression we gave them recommendations on another page, slightly unclear.|7
5a6f60e4efd3a7000120f057|1-13-2022-4|subject2|S012|E006|1/13/2022 9:53:33|7|7|7|7|7|We had very similar tastes and Alex told me about a show that I will probably end up watching|No, thank you for the survey!|7
611172873990f5bf69ad56af|1-13-2022-7|subject1|S013|E007|1/13/2022 10:00:48|7|6|7|6|7|My partner was great!! They had a lot of movies & TV shows in common with me & suggested a few that I'm going to check out. They also were really well-versed in entertainment so I trust that the shows/movies are going to be good.|This was a super fun exercise - thanks so much!!|6
5dccbd14f7bfb1947d7e050a|1-13-2022-7|subject2|S014|E007|1/13/2022 10:00:01|7|7|7|6|7|Very engaging and helpful|No it was a lot of fun thank you!|6
6155bb4f5250fc58f16eca99|1-13-2022-9|subject1|S015|E008|1/13/2022 10:03:24|7|7|7|4|6|Very nice, had questions, liked the same movies as me|none, thank you|6
615e338de22ea1c7fe8dec3f|1-13-2022-9|subject2|S016|E008|1/13/2022 10:04:14|5|4|5|5|7|the conversation was a little slow, but we did both recommend a lot of good shows/movies and seemed to have mostly the same tastes.|no|5
60fe01c08d0d9c3d132ccd66|1-19-2022-12|subject1|S017|E009|1/19/2022 11:19:22|4|5|5|3|4|Partner did a good job thinking of comedies that might be relaxing. They mentioned the same show multiple times which derailed the conversation a little.|no|4
5ed7e3d68f29cf2bf4c1f901|1-19-2022-12|subject2|S018|E009|1/19/2022 11:20:12|7|7|6|6|6|my partner was well versed and knowledgeable about the topic|none|6
60fe242a91aadd1bc76e94f8|1-19-2022-3|subject1|S019|E010|1/19/2022 10:59:39|6|7|6|6|6|My partner and I seemed to have similar taste. The shows we both recommended aligned well and we have watched the same shows. I enjoyed the conversation.|No|5
5ad449bc3a859300016c706c|1-19-2022-3|subject2|S020|E010|1/19/2022 10:58:23|4|4|4|4|4|We agreed a lot. The recommendations made sense.|No|4
60fda1561df62ffa7a804076|1-19-2022-4|subject1|S021|E011|1/19/2022 11:00:45|6|5|5|5|4|Pat seemed nice and we definitely agreed a lot more about horror movies than about movies that don't need much attention|Nope. that was enjoyable|6
612fc1a301860ce59ed463d5|1-19-2022-4|subject2|S022|E011|1/19/2022 11:01:31|7|7|6|6|6|My partener was enthusiatic and excited to discuss the movies. They added a lot to the conversation.|I enjoyed the different study experience. It was unique and held my attention well|7
5a01dc47728b1b0001ad8ac1|1-19-2022-5|subject1|S023|E012|1/19/2022 11:05:45|7|7|7|6|6|My partner was very open and honest. This person was a joy to chat with especially since we happened to have a lot of the same movie and TV show interests.|The study went very well.|6
60ff2ba6af5d5b22552d996e|1-19-2022-5|subject2|S024|E012|1/19/2022 11:05:40|4|7|3|5|7|My partner was very direct with questions. My partner was also good at leading the conversation.|No|6
612d03ee769147cf34390c0a|1-19-2022-6|subject1|S025|E013|1/19/2022 11:06:46|4|5|4|4|3|It was going okay but around the 7 minute mark it started to not send our chats. I could not send or receive any messages.|around the 7 minute mark it started to not send our chats. I could not send or receive any messages.|4
6170b39c1de26add8c0e7b84|1-19-2022-6|subject2|S026|E013|1/19/2022 11:06:05|5|7|4|5|4|Good overall, got to see new shows I've never heard of or watched|No|5
610020a12cda04dcadb4f14b|1-19-2022-7|subject1|S027|E014|1/19/2022 11:08:46|2|3|3|3|4|They were very into discussing the prompt and enjoyed a wide range of TV/ movies. They were descriptive and shared specific aspects of movies or TV shows.|No|3
60fcbef1d289419dcbcbc6ee|1-19-2022-7|subject2|S028|E014|1/19/2022 11:08:28|6|6|7|5|2|Overall the conversation flowed well, but I am not convinced I was talking to a real person. Some of the phrases did not sound like things another person would say. They also took a really long time to respond with pretty short answers.|None!|7
6110b51bf43f377f957c80df|1-19-2022-8|subject1|S029|E015|1/19/2022 11:11:00|5|5|7|6|7|I definitely had a nerdy partner, which fitted me well.|No.|3
6165abdc7a32008e0ab655ae|1-19-2022-8|subject2|S030|E015|1/19/2022 11:10:23|6|6|7|7|7|I'd say it went well. I was surprised we had such an overlap in tastes. I think I was expecting us to have less in common than we did, and that I'd have to explain myself.|Nope.|6
60b8ebe00e8724e493098e52|1-19-2022-9|subject1|S031|E016|1/19/2022 11:12:28|6|6|4|5|7|The conversation seemed polite and fun. It didn't take a lot of effort to keep the conversation going. My partner seemed to have some good recommendations and we had quite a bit in common.|No, everything was good.|4
6116b830b2aa849c622e62b6|1-19-2022-9|subject2|S032|E016|1/19/2022 11:12:02|6|6|6|5|7|Seems like we have common interests in movies and tv shows and sounds like a nice guy|no|6
58742bf5d53c97000159df8c|1-25-2022-3|subject1|S033|E017|1/25/2022 11:04:25|7|7|6|6|6|My partner was very cordial and gave good recommendations. I felt like they completely understood what I like and dislike.|No. I do not.|6
583ec287ad2f4300014b355a|1-25-2022-3|subject2|S034|E017|1/25/2022 11:04:07|6|7|5|6|5|My partner was upbeat and engaged. The conversation flowed well and was absorbing.|No.|6
58d2cb10f5899100018a05b8|1-25-2022-4|subject1|S035|E018|1/25/2022 11:05:25|6|6|6|5|7|My partner appeared to be pretty nice. Me and my partner may differ in taste because we liked different shows and movies.|no comments|7
6101f6f45269e30a22fc4526|1-25-2022-4|subject2|S036|E018|1/25/2022 11:03:58|7|7|4|5|7|Very easy to talk to. Very nice|no|5
5ef9df1812148a78af8e76dc|1-25-2022-5|subject1|S037|E019|1/25/2022 11:04:28|6|6|6|6|4|sophisticated, deep thinker, friendly. much better than I expected.|no|5
607db957e9d570c7c2657b8d|1-25-2022-5|subject2|S038|E019|1/25/2022 11:04:38|7|7|7|7|7|They were engaging and interesting and had many recommendations that I will follow up on.|No, but this was interesting and fun, thank you!  :)|7
5bdcd88176d6d50001bc3849|1-25-2022-6|subject1|S039|E020|1/25/2022 11:06:11|6|5|6|4|6|Reasonable partner.  Focused on the task at hand, giving recommendations.  Conversant but not overly chatty or rambling.  Good for coming up with ideas.|No.|6
5dd3d566e05cad3b130de19a|1-25-2022-6|subject2|S040|E020|1/25/2022 11:09:39|6|6|6|6|5|My partner Alex was courteous and receptive to my suggestions.  They were already a fan of SciFi films so they took my suggestions.|Nope|5
5def2693ac00aa5c27166356|1-25-2022-7|subject1|S041|E021|1/25/2022 11:06:40|7|7|7|7|7|My partner was very engaging and we seemed to have similar tastes in movie and TV. I fully plan on watching the recommendations for V for Vendetta and Euphoria! Honestly I wish I could be friends with this person in real life. Awesome connection.|This was really fun! Thank you for allowing me to take part in this study.|7
60121fca666552254559110d|1-25-2022-7|subject2|S042|E021|1/25/2022 11:07:03|7|6|7|7|5|"""Alex"" was very fun to talk to! He explained his passions to me and I did the same. We also shared a few shows in common which was great!"|N/A|6
61230b14a3bcb65c585dfdaa|1-25-2022-8|subject1|S043|E022|1/25/2022 11:09:31|7|7|7|6|6|Pat was very chill, calm and collected. They were quite nice and helpful with their recommendations.|Fun study!|6
5dc59aea37023940a0860dea|1-25-2022-8|subject2|S044|E022|1/25/2022 11:09:43|6|6|6|6|5|My partner was friendly, attentive, and open to what I was saying. It was a good conversation and I actually got a good recommendation.|Fun survey!|5
6101667971d68405d105698a|1-28-2022-30|subject1|S045|E023|1/28/2022 12:50:02|5|5|5|4|6|I think we both agreed on tv shows with a premise built around being teen dramas on HBO (them, Euphoria; me, Gossip Girl [2021]). We also talked a bit about the reboot/re-quel type shows/movies that have been coming out recently.|N/A|5
60fe1baa4ca6caf00c84e558|1-28-2022-30|subject2|S046|E023|1/28/2022 12:49:31|6|7|6|5|3|I think the conversation went well. It felt organic and had some good recommendations in it.|I do not.|5
5c509cad3e4c8400010ac228|1-28-2022-33|subject1|S047|E024|1/28/2022 12:50:28|5|5|5|4|5|I felt like my partner was nice enough, but they didn't seem all that much engage in the conversation.  They had some great suggestions though.|Everything seemed to run smoothly.|2
6021522cc0eec00d2e4ab6c7|1-28-2022-33|subject2|S048|E024|1/28/2022 12:50:35|4|4|6|4|7|nice, more talkative than i, more experience with recent tv and movies|no|2
5d7ff85ffec5620017b07c40|1-28-2022-34|subject1|S049|E025|1/28/2022 12:50:43|6|6|5|6|6|I though my partner was knowledgeable and entertaining.  I enjoyed the conversation.|no|7
5f8461c7c4a37809c686303d|1-28-2022-34|subject2|S050|E025|1/28/2022 12:49:53|6|6|4|5|7|it was a good conversation and we had a lot of back and forth conversation|no|5
611688156f6d22853511ffb3|1-28-2022-35|subject1|S051|E026|1/28/2022 12:51:48|7|7|5|6|4|they seemed engaged and brought something to the conversation and i enjoyed it|good format|6
60c359d4d2d482810a559fe2|1-28-2022-35|subject2|S052|E026|1/28/2022 12:51:24|6|7|5|6|6|The overall conversation went really well. It flowed naturally and we both shared some good information. My partner was engaged.|This was an enjoyable experience. Thank you!|6
